"country_id","country_name","country_name_es","continent","rank_by_continent","rank_all","population","confirmed","death","recovered"
estonia,Estonia,Estonia,Europe,29,67,1326539,63826,1489,7501
eswatini,Eswatini,Eswatini,Africa,36,145,,2073,28,310
ethiopia,Ethiopia,Etiopía,Africa,28,131,114963583,4204,106,1335
fiji,Fiji,Fiji,Oceania,3,159,896444,673,0,226
finland,Finland,Finlandia,Europe,21,50,5540718,161973,5119,68812
france,France,Francia,Europe,5,7,65273512,4659657,477398,1473585
gabon,Gabon,Gabón,Africa,23,124,2225728,6885,112,1256
gambia,Gambia,Gambia,Africa,45,169,2416664,420,48,176
georgia,Georgia,Georgia,Europe,44,106,3989175,16435,184,4930
germany,Germany,Alemania,Europe,3,5,83783945,5777333,175038,3472525
ghana,Ghana,Ghana,Africa,5,75,31072945,50859,453,4802
greece,Greece,Grecia,Europe,24,59,10423056,101581,4741,23800
grenada,Grenada,Granada,North America,18,160,112519,668,0,220
guatemala,Guatemala,Guatemala,North America,9,108,17915567,14099,388,1521
guernsey,Guernsey,Guernesey,Europe,50,175,,0,0,0
guinea,Guinea,Guinea,Africa,10,85,13132792,31998,168,7404
guinea-bissau,Guinea-Bissau,Guinea-Bissau,Africa,26,129,1967998,5075,18,291
guyana,Guyana,Guayana,South America,11,140,786559,2515,289,497
haiti,Haiti,Haití,North America,15,143,11402533,2397,185,181
holy_see,Holy See,Santa Sede,Europe,48,170,,408,0,64
honduras,Honduras,Honduras,North America,8,95,9904608,25196,1910,1926
hungary,Hungary,Hungría,Europe,25,62,9660350,79865,7854,13781
iceland,Iceland,Islandia,Europe,26,63,341250,77637,357,48099
india,India,India,Asia,5,16,1380004385,896848,29345,211623
indonesia,Indonesia,Indonesia,Asia,14,39,273523621,285155,22995,37768
iran,Iran,Irán,Asia,2,8,,3685703,232747,2329193
iraq,Iraq,Irak,Asia,22,65,40222503,70537,3682,39609
ireland,Ireland,Irlanda,Europe,12,23,4937796,586154,29104,236853
israel,Israel,Israel,Asia,8,25,8655541,542492,6182,193406
italy,Italy,Italia,Europe,2,3,60461828,8059263,1025101,2209323
jamaica,Jamaica,Jamaica,North America,11,118,2961161,9450,236,1010
japan,Japan,Japón,Asia,10,29,126476458,414709,11482,73909
jersey,Jersey,Jersey,Europe,49,176,,0,0,0
jordan,Jordan,Jordán,Asia,29,103,10203140,18536,295,10325
kazakhstan,Kazakhstan,Kazajstán,Asia,21,61,18776707,86466,725,21436
kenya,Kenya,Kenia,Africa,18,112,53771300,12400,531,3226
"korea,_south","Korea, South",Corea del Sur,Asia,6,19,,669635,11491,365571
kosovo,Kosovo,Kosovo,Europe,42,102,,19238,484,6129
kuwait,Kuwait,Kuwait,Asia,19,57,4270563,108026,595,31005
kyrgyzstan,Kyrgyzstan,Kirguizistán,Asia,27,99,6524191,21434,249,10038
laos,Laos,Laos,Asia,38,156,,724,0,151
latvia,Latvia,Letonia,Europe,37,86,1886202,31505,1437,6710
lebanon,Lebanon,Líbano,Asia,26,87,6825442,30942,952,4955
liberia,Liberia,Liberia,Africa,30,135,5057677,3662,374,932
libya,Libya,Libia,Africa,38,147,6871287,1789,64,510
liechtenstein,Liechtenstein,Liechtenstein,Europe,47,133,6871287,3803,36,1870
lithuania,Lithuania,Lituania,Europe,33,77,2722291,50012,1316,12541
luxembourg,Luxembourg,Luxemburgo,Europe,22,52,625976,151085,2977,64589
madagascar,Madagascar,Madagascar,Africa,27,130,27691019,4867,0,1909
malaysia,Malaysia,Malasia,Asia,16,44,32365998,230505,3608,121517
maldives,Maldives,Maldivas,Asia,32,121,540542,8163,19,698
mali,Mali,Malí,Africa,19,114,20250834,11412,661,3582
malta,Malta,Malta,Europe,43,105,441539,17128,112,6984
mauritania,Mauritania,Mauritania,Africa,46,171,4649660,322,41,168
mauritius,Mauritius,Mauricio,Africa,16,110,1271767,12747,371,6849
mexico,Mexico,México,North America,3,27,128932753,477172,42488,230621
moldova,Moldova,Moldavia,Europe,23,58,115021,104346,2844,25311
monaco,Monaco,Mónaco,Europe,46,132,115021,3895,109,1317
mongolia,Mongolia,Mongolia,Asia,37,152,3278292,1295,0,282
montenegro,Montenegro,Montenegro,Europe,45,113,628062,11799,203,4311
morocco,Morocco,Marruecos,Africa,3,54,36910558,122638,5421,25810
mozambique,Mozambique,Mozambique,Africa,37,146,31255435,1843,0,335
namibia,Namibia,Namibia,Africa,43,157,2540916,713,0,235
nepal,Nepal,Nepal,Asia,35,148,29136808,1638,0,386
netherlands,Netherlands,Países Bajos,Europe,7,14,17134873,1321015,147242,9144
new_zealand,New Zealand,Nueva Zelanda,Oceania,2,73,4822233,55855,455,32473
nicaragua,Nicaragua,Nicaragua,North America,22,168,6624554,440,95,175
niger,Niger,Níger,Africa,14,98,24206636,22038,864,9071
nigeria,Nigeria,Nigeria,Africa,7,78,206139587,46410,1435,8384
north_macedonia,North Macedonia,Macedonia del Norte,Europe,34,79,,45397,2098,14890
norway,Norway,Noruega,Europe,16,34,5421242,322983,6421,1307
oman,Oman,Omán,Asia,23,68,5106622,58991,285,13637
pakistan,Pakistan,Pakistán,Asia,9,28,220892331,447430,9250,100788
panama,Panama,Panamá,North America,5,46,4314768,185219,5061,11075
papua_new_guinea,Papua New Guinea,Papúa Nueva Guinea,Oceania,4,173,8947027,223,0,46
paraguay,Paraguay,Paraguay,South America,10,119,7132530,9382,319,2423
peru,Peru,Perú,South America,2,17,32971846,883165,24161,278713
philippines,Philippines,Filipinas,Asia,15,41,109581085,262729,16582,26348
poland,Poland,Polonia,Europe,13,30,37846605,380727,15982,71051
portugal,Portugal,Portugal,Europe,9,18,10196707,814615,28446,36488
qatar,Qatar,Katar,Asia,12,35,2881060,322244,328,33040
romania,Romania,Rumanía,Europe,14,32,19237682,362064,19509,98708
russia,Russia,Rusia,Asia,4,10,,2545153,23367,283107
rwanda,Rwanda,Ruanda,Africa,22,122,12952209,7192,0,2627
saint_kitts_and_nevis,Saint Kitts and Nevis,Saint Kitts y Nevis,North America,21,164,12952209,545,0,115
saint_lucia,Saint Lucia,Santa Lucía,North America,19,161,183629,668,0,390
saint_vincent_and_the_grenadines,Saint Vincent and the Grenadines,San Vicente y las Granadinas,South America,12,166,,500,0,154
san_marino,San Marino,San Marino,Europe,41,100,198410,20913,1783,2502
saudi_arabia,Saudi Arabia,Arabia Saudita,Asia,7,24,34813867,546369,4332,93562
senegal,Senegal,Senegal,Africa,12,93,16743930,25417,216,10064
serbia,Serbia,Serbia,Europe,20,43,8737370,232014,4686,28989
seychelles,Seychelles,Seychelles,Africa,44,165,98340,535,0,142
singapore,Singapore,Singapur,Asia,11,31,5850343,378366,474,39382
slovakia,Slovakia,Eslovaquia,Europe,36,81,5459643,44586,498,11990
slovenia,Slovenia,Eslovenia,Europe,30,69,2078932,58211,2705,7029
somalia,Somalia,Somalia,Africa,17,111,15893219,12585,581,805
